Date,Close
2020-05-27,400.0
2020-05-28,400.4
2020-05-29,400.29
2020-06-01,400.81
2020-06-02,402.03
2020-06-03,401.84
2020-06-04,401.65
2020-06-05,402.92
2020-06-08,403.54
2020-06-09,403.16
2020-06-10,403.6
2020-06-11,403.22
2020-06-12,402.85
2020-06-15,403.04
2020-06-16,401.5
2020-06-17,400.11
2020-06-18,399.66
2020-06-19,398.85
2020-06-22,399.1
2020-06-23,398.38
2020-06-24,397.25
2020-06-25,398.42
2020-06-26,398.24
2020-06-29,398.29
2020-06-30,397.16
2020-07-01,396.73
2020-07-02,396.81
2020-07-03,395.9
2020-07-06,396.2
2020-07-07,395.72
2020-07-08,395.49
2020-07-09,395.01
2020-07-10,396.48
2020-07-13,396.47
2020-07-14,395.63
2020-07-15,396.28
2020-07-16,395.31
2020-07-17,395.48
2020-07-20,393.93
2020-07-21,392.88
2020-07-22,393.04
2020-07-23,393.62
2020-07-24,393.75
2020-07-27,393.66
2020-07-28,393.42
2020-07-29,392.26
2020-07-30,391.69
2020-07-31,391.33
2020-08-03,392.16
2020-08-04,392.43
2020-08-05,391.05
2020-08-06,391.3
2020-08-07,391.0
2020-08-10,390.47
2020-08-11,390.95
2020-08-12,391.75
2020-08-13,392.48
2020-08-14,391.82
2020-08-17,391.58
2020-08-18,391.84
2020-08-19,392.61
2020-08-20,392.23
2020-08-21,392.08
2020-08-24,391.22
2020-08-25,390.28
2020-08-26,390.91
2020-08-27,391.97
2020-08-28,391.92
2020-08-31,392.7
2020-09-01,392.99
2020-09-02,392.48
2020-09-03,392.77
2020-09-04,393.97
2020-09-07,393.95
2020-09-08,395.18
2020-09-09,393.11
2020-09-10,393.75
2020-09-11,393.82
2020-09-14,393.59
2020-09-15,393.66
2020-09-16,392.09
2020-09-17,391.92
2020-09-18,392.2
2020-09-21,393.36
2020-09-22,392.95
2020-09-23,392.32
2020-09-24,391.92
2020-09-25,392.64
2020-09-28,392.9
2020-09-29,392.48
2020-09-30,392.89
2020-10-01,392.96
2020-10-02,393.72
2020-10-05,393.17
2020-10-06,392.91
2020-10-07,392.61
2020-10-08,391.46
2020-10-09,391.69
2020-10-12,391.89
2020-10-13,391.9
2020-10-14,391.71
2020-10-15,390.6
2020-10-16,390.28
2020-10-19,390.01
2020-10-20,389.38
2020-10-21,389.26
2020-10-22,389.57
2020-10-23,391.04
2020-10-26,391.18
2020-10-27,391.38
2020-10-28,391.32
2020-10-29,389.82
2020-10-30,389.8
2020-11-02,389.85
2020-11-03,391.77
2020-11-04,391.62
2020-11-05,391.85
2020-11-06,391.82
2020-11-09,390.91
2020-11-10,391.8
2020-11-11,392.39
2020-11-12,393.01
2020-11-13,392.3
2020-11-16,393.4
2020-11-17,392.29
2020-11-18,392.76
2020-11-19,394.48
2020-11-20,393.69
2020-11-23,393.25
2020-11-24,393.33
2020-11-25,392.93
2020-11-26,391.71
2020-11-27,391.77
2020-11-30,390.93
2020-12-01,391.3
2020-12-02,390.58
2020-12-03,391.79
2020-12-04,391.18
2020-12-07,390.93
2020-12-08,391.57
2020-12-09,390.6
2020-12-10,390.78
2020-12-11,391.8
2020-12-14,390.54
2020-12-15,390.69
2020-12-16,390.89
2020-12-17,391.5
2020-12-18,390.53
2020-12-21,389.5
2020-12-22,389.91
2020-12-23,390.14
2020-12-24,390.33
2020-12-25,390.6
2020-12-28,390.07
2020-12-29,390.25
2020-12-30,390.48
